Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2/2/2018,481.1,485.1,477.4,485.1,8.6,483.7,635,5519
2/1/2018,474.2,479.9,472.9,477.8,4.2,475.1,430,5513
1/31/2018,468.1,477.8,468,473.2,3.1,470.9,560,5628
1/30/2018,472.3,474,467.8,467.8,10,467.8,737,5770
1/29/2018,489.9,489.9,477.3,477.3,9.5,477.8,423,5784
1/26/2018,485.1,488,482.3,488,9.3,487.3,617,5855
1/25/2018,475,482.9,473.7,482.9,5.1,478,491,5896
1/24/2018,473.1,476.6,472.5,474,1,472.9,269,5908
1/23/2018,473.9,475.9,469.8,470.9,2.9,471.9,349,5872
1/22/2018,480,481.8,473.7,474.8,5.2,474.8,271,5815
1/19/2018,481.1,482.9,477,480.1,0.5,480,286,5834
1/18/2018,477.5,481.7,473.1,479.4,3.1,479.5,435,5814
1/17/2018,473.4,479.5,471.4,476.8,1.7,476.4,529,5796
1/16/2018,469.5,475,467.8,473,8.6,474.7,587,5764
1/12/2018,494,494.7,472,472,22.4,472,9,4
1/11/2018,484.9,501.4,483,501.4,14.2,494.4,126,93
1/10/2018,472,484.5,472,480.2,8.7,480.2,180,239
1/9/2018,461.4,472,460,471.9,9.5,471.5,187,315
1/8/2018,460.1,464,460,463,0.7,462,237,432
1/5/2018,456.9,462.9,455,461.5,4.5,461.3,415,697
1/4/2018,457.3,459.2,455.2,459.2,1.1,456.8,241,852
1/3/2018,452.4,457.7,450.9,456.2,2.7,455.7,333,962
1/2/2018,449,458,449,454,5,453,360,1242
12/29/2017,446.7,450.5,445.5,448.6,0.9,448,299,1586
12/28/2017,449.1,449.1,445.3,447.2,3.5,447.1,533,1869
12/27/2017,449.7,453.6,449.7,450.5,1.4,450.6,249,1971
12/26/2017,453,455.4,449.5,449.5,1.4,452,191,2037
12/22/2017,445.1,450.6,445.1,450.6,10,450.6,480,2061
12/21/2017,429.8,440.6,429,440.6,10,440.6,561,2200
12/20/2017,431.2,431.7,428.5,431.5,0.6,430.6,757,2696
12/19/2017,437.2,441.9,429.4,431,3.7,431.2,1070,3007
12/18/2017,435,439,429,437.2,3,434.9,724,3184
12/15/2017,428,434.6,426,433.9,1.2,431.9,506,3364
12/14/2017,427.9,431.1,425.2,430.3,9.6,430.7,754,3622
12/13/2017,420.9,425.7,417.2,425.7,2.4,421.1,564,3804
12/12/2017,425.7,427.4,422.5,423.5,6.4,423.5,502,3995
12/11/2017,429.7,432.7,426.2,426.5,0.2,429.9,405,4214
12/8/2017,424,430.7,424,427.6,3.8,429.7,651,4436
12/7/2017,423.6,429.5,423.6,424.7,1.5,425.9,450,4513
12/6/2017,420,426,418.6,425,1.9,424.4,386,4579
12/5/2017,426.2,427,422.5,422.5,10,422.5,566,4681
12/4/2017,437.4,438.6,431.2,431.8,2.9,432.5,330,4721
12/1/2017,432.3,437.7,430,436.7,7.7,435.4,742,4765
11/30/2017,421,430.3,420.7,429.6,5.9,427.7,436,4891
11/29/2017,428.6,429.7,419.8,423.5,4.4,421.8,623,4968
11/28/2017,420.7,426.2,419,426.2,10,426.2,455,5018
11/27/2017,421.1,421.1,411.2,418.4,4.5,416.2,633,5207
11/24/2017,425.6,426.1,418.1,421.2,6.8,420.7,640,5327
11/22/2017,435,435.3,426.7,427,3.8,427.5,639,5467
11/21/2017,429.1,435,425,434.9,1.6,431.3,656,5603
11/20/2017,438.5,440.3,429.7,432.1,10,429.7,625,5679
11/17/2017,451.9,451.9,439.7,439.7,10,439.7,321,5668
11/16/2017,452.2,455.9,448,448.1,0.3,449.7,434,5670
11/15/2017,465,500,465,500,27,500,13,13
11/14/2017,468,477.7,464,476,5.6,473,135,123
11/13/2017,470.9,472.4,466.6,469.1,3.6,467.4,154,219
11/10/2017,463,471.7,462.5,470.1,8.3,471,101,274
11/9/2017,461.5,465.5,457.1,462.8,0.9,462.7,103,315
11/8/2017,464,467,459.4,460.9,3,461.8,102,422
11/7/2017,463,467.4,460.6,464,3.2,464.8,130,503
11/6/2017,448.6,464.2,448.4,463,12.6,461.6,186,565
11/3/2017,447.1,453.6,444.9,445.5,,449,270,665
11/2/2017,468.6,471,438,442,17.4,449,611,757
11/1/2017,463.9,471.3,461.5,468.3,8,466.4,726,1235
10/31/2017,452.2,458.4,452.2,458.4,10,458.4,471,1690
10/30/2017,447,452,444.8,452,2.5,448.4,471,1869
10/27/2017,442.1,450.9,440.8,447.8,10,450.9,595,2111
10/26/2017,439.5,442,438.4,442,1.2,440.9,553,2464
10/25/2017,439,441.2,434.6,440.2,0.9,439.7,467,2598
10/24/2017,443,444.4,436.1,439.9,5,440.6,606,2879
10/23/2017,424.1,437.5,424.1,437.5,8.1,435.6,730,3117
10/20/2017,428,430.7,425.4,426.8,0.8,427.5,516,3348
10/19/2017,422.1,428.4,421.3,428.4,3,426.7,505,3524
10/18/2017,425,425.7,420.4,423.7,4.8,423.7,513,3623
10/17/2017,433.5,434.4,425.2,429,1.3,428.5,446,3796
10/16/2017,426.4,433.5,424.5,432.3,5.5,429.8,720,4058
10/13/2017,422.5,426.3,421,425.5,7.1,424.3,692,4187
10/12/2017,411.8,419.2,411.8,419.2,8,417.2,525,4204
10/11/2017,408.1,411.3,407.2,411.3,1.9,409.2,365,4267
10/10/2017,416.3,417.5,406.3,409,6.4,407.3,634,4355
10/9/2017,414,417,411.6,416.9,1.6,413.7,204,4347
10/6/2017,412,413.8,410,412.7,3.2,412.1,239,4394
10/5/2017,407.8,413.7,405.7,413.4,0.1,408.9,407,4317
10/4/2017,412.3,412.3,405.3,405.9,1.6,408.8,360,4293
10/3/2017,407,412.5,407,412.3,3.6,410.4,462,4271
10/2/2017,402.2,408.4,402.2,405.2,4.6,406.8,391,4399
9/29/2017,403.8,408.5,400.6,401.6,0.2,402.2,637,4495
9/28/2017,397.8,403.5,397.1,403.5,8.9,402.4,865,4595
9/27/2017,387.7,396.5,387,396.3,4.6,393.5,568,4578
9/26/2017,389.8,392.3,386.1,388.4,1.1,388.9,329,4590
9/25/2017,392,394.8,388.5,391,3.1,390,363,4591
9/22/2017,389,394.5,389,392.2,4.7,393.1,609,4517
9/21/2017,390.1,391.7,387.3,390.9,1.6,388.4,466,4450
9/20/2017,389.5,391.4,388,390.5,8.2,390,484,4462
9/19/2017,382.8,388.8,379.6,388.2,2.6,381.8,591,4456
9/18/2017,377.3,381.8,373.6,379.6,,379.2,330,4470
9/15/2017,411.7,411.7,395.1,395.2,14,395.2,6,7
9/14/2017,400.9,411.7,400.9,409.2,10.8,409.2,44,31
9/13/2017,396,399,395.6,399,3.4,398.4,76,89
9/12/2017,394.3,397.3,389.8,394,3.2,395,130,210
9/11/2017,393.5,394,386.1,391.8,7.7,391.8,113,285
9/8/2017,397.6,402.8,396.3,398.8,5.2,399.5,85,338
9/7/2017,390.9,396.6,389.8,395.7,4.3,394.3,165,396
9/6/2017,394,394.7,389,389,6.4,390,210,542
9/5/2017,389.8,398.3,389.6,394.4,9.6,396.4,495,790
9/1/2017,387.4,389.2,385.9,386.8,1.1,386.8,347,1021
8/31/2017,384,388.1,382.5,386.8,5.7,385.7,662,1295
8/30/2017,377.5,382.5,374.3,381,3.7,380,282,1393
8/29/2017,371.6,376.8,370.1,376,3.8,376.3,756,1793
8/28/2017,374.2,382,374,380.8,8.1,380.1,504,1956
8/25/2017,379.6,381.8,370.2,371.8,1.9,372,556,2147
8/24/2017,366.1,375.9,365,375.9,8,373.9,589,2134
8/23/2017,367.9,367.9,364.1,366.2,1.7,365.9,146,2176
